sample_accession	hq_filter	sylph_species	country	collection_date
SAMN13450805	PASS	Neisseria meningitidis	New Zealand	2014
SAMN35339273	PASS	Neisseria meningitidis	New Zealand	1992
SAMEA2820768	PASS	Neisseria meningitidis		
SAMEA3507028	PASS	Neisseria meningitidis		
SAMEA7838992	PASS	Neisseria meningitidis		
SAMN13450952	PASS	Neisseria meningitidis	New Zealand	2017
SAMEA104189263	PASS	Neisseria meningitidis	United Kingdom	2015
SAMEA3650398	PASS	Neisseria meningitidis		
SAMN35339343	PASS	Neisseria meningitidis	New Zealand	1995
SAMEA1522858	PASS	Neisseria meningitidis		
SAMEA3503116	PASS	Neisseria meningitidis		
SAMEA4719221	PASS	Neisseria meningitidis		
SAMEA4948631	PASS	Neisseria meningitidis		
SAMEA5748697	PASS	Neisseria meningitidis		
SAMEA1523173	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA2673776	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA2674348	PASS	Neisseria meningitidis		
SAMEA4361209	PASS	Neisseria meningitidis		
SAMEA4493247	PASS	Neisseria meningitidis		
SAMEA4948016	PASS	Neisseria meningitidis		
SAMEA7741012	PASS	Neisseria meningitidis		
SAMEA7838600	PASS	Neisseria meningitidis		
SAMN29757118	PASS	Neisseria meningitidis	USA	2016
SAMEA4948533	PASS	Neisseria meningitidis		
SAMEA7838358	PASS	Neisseria meningitidis		
SAMEA8114233	PASS	Neisseria meningitidis		
SAMEA2673953	PASS	Neisseria meningitidis		
SAMEA7838436	PASS	Neisseria meningitidis		
SAMEA7838844	PASS	Neisseria meningitidis		
SAMEA1706792	PASS	Neisseria meningitidis		
SAMEA3506929	PASS	Neisseria meningitidis		
SAMEA8114173	PASS	Neisseria meningitidis		
SAMN15162668	PASS	Neisseria meningitidis	New Zealand	2019
SAMN17286341	PASS	Neisseria meningitidis	USA: Georgia	2007
SAMN29756996	PASS	Neisseria meningitidis	USA	2015
SAMN35340358	PASS	Neisseria meningitidis	New Zealand	2022
SAMEA3497558	PASS	Neisseria meningitidis		
SAMEA111347777	PASS	Neisseria meningitidis	Norway	2007-01-05
SAMN35339244	PASS	Neisseria meningitidis	New Zealand	1990
SAMEA114226772	PASS	Neisseria meningitidis	United Kingdom	2023
SAMEA1522860	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA2048193	PASS	Neisseria meningitidis	United Kingdom	2012
SAMEA3507255	PASS	Neisseria meningitidis		
SAMEA4948532	PASS	Neisseria meningitidis		
SAMEA678279	PASS	Neisseria meningitidis		
SAMEA7741081	PASS	Neisseria meningitidis		
SAMEA7838408	PASS	Neisseria meningitidis		
SAMEA2820749	PASS	Neisseria meningitidis		
SAMEA4719323	PASS	Neisseria meningitidis		
SAMEA4948244	PASS	Neisseria meningitidis		
SAMEA8114383	PASS	Neisseria meningitidis		
SAMEA2674029	PASS	Neisseria meningitidis		
SAMEA2629084	PASS	Neisseria meningitidis		
SAMEA4719574	PASS	Neisseria meningitidis		
SAMEA7838589	PASS	Neisseria meningitidis		
SAMEA7838940	PASS	Neisseria meningitidis		
SAMEA8114140	PASS	Neisseria meningitidis		
SAMEA1094395	PASS	Neisseria meningitidis	United Kingdom	2010
SAMEA1904498	PASS	Neisseria meningitidis	United Kingdom	2012
SAMEA4948288	PASS	Neisseria meningitidis		
SAMEA5661275	PASS	Neisseria meningitidis		
SAMEA3879234	PASS	Neisseria meningitidis		
SAMEA4493244	PASS	Neisseria meningitidis		
SAMEA6102717	PASS	Neisseria meningitidis		
SAMEA6538776	PASS	Neisseria meningitidis		
SAMEA8114416	PASS	Neisseria meningitidis		
SAMEA2673934	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMN13450988	PASS	Neisseria meningitidis	New Zealand	2018
SAMN14500794	PASS	Neisseria meningitidis	USA	2015
SAMN44030926	PASS	Neisseria meningitidis	New Zealand	2002
SAMEA1706800	PASS	Neisseria meningitidis		
SAMEA2673858	PASS	Neisseria meningitidis		
SAMEA2674330	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA7838299	PASS	Neisseria meningitidis		
SAMEA7838386	PASS	Neisseria meningitidis		
SAMEA7838402	PASS	Neisseria meningitidis		
SAMEA7838780	PASS	Neisseria meningitidis		
SAMEA4948554	PASS	Neisseria meningitidis		
SAMEA7741089	PASS	Neisseria meningitidis		
SAMEA7838480	PASS	Neisseria meningitidis		
SAMEA7838937	PASS	Neisseria meningitidis		
SAMN38018654	PASS	Neisseria meningitidis	USA: NY	2023
SAMEA1523118	PASS	Neisseria meningitidis	United Kingdom	2010
SAMEA7838665	PASS	Neisseria meningitidis		
SAMEA116329553	PASS	Neisseria meningitidis	Switzerland	2023-11-30
SAMEA7741122	PASS	Neisseria meningitidis		
SAMEA7838742	PASS	Neisseria meningitidis		
SAMN44030892	PASS	Neisseria meningitidis	New Zealand	1994
SAMEA3506792	PASS	Neisseria meningitidis		
SAMEA3507293	PASS	Neisseria meningitidis		
SAMEA4948117	PASS	Neisseria meningitidis		
SAMEA4948702	PASS	Neisseria meningitidis		
SAMEA7838346	PASS	Neisseria meningitidis		
SAMEA2016829	PASS	Neisseria meningitidis	United Kingdom	2008
SAMEA2820862	PASS	Neisseria meningitidis		
SAMEA3503410	PASS	Neisseria meningitidis		
SAMEA3503412	SYLPH_RESULTS_FAIL	unknown		
SAMEA4948063	PASS	Neisseria meningitidis		
SAMEA4948343	PASS	Neisseria meningitidis		
SAMEA4948490	PASS	Neisseria meningitidis		
SAMEA8114313	PASS	Neisseria meningitidis		
SAMEA2271573	PASS	Neisseria meningitidis		
SAMEA2570232	CHECKM2_MAX_CONTAM,SYLPH_RESULTS_FAIL	unknown		
SAMEA2820895	PASS	Neisseria meningitidis		
SAMEA3432276	PASS	Neisseria meningitidis		
SAMEA4948646	PASS	Neisseria meningitidis		
